time,currentactivity,cause,timespent,part,uuid,nextactivity,group,message,slide,height,id,width,gridString
2022-11-27 18:36:19.312,15.0,screenChange,0.343,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,16.0,,,,,,,
2022-11-27 18:36:19.676,16.0,screenChange,0.363,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,17.0,,,,,,,
2022-11-27 18:36:20.075,17.0,screenChange,0.399,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,18.0,,,,,,,
2022-11-27 18:36:20.453,18.0,screenChange,0.377,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,19.0,,,,,,,
2022-11-27 18:36:20.796,19.0,screenChange,0.343,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,20.0,,,,,,,
2022-11-27 18:36:21.358,20.0,screenChange,0.561,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,21.0,,,,,,,
2022-11-27 18:36:21.672,21.0,screenChange,0.313,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,22.0,,,,,,,
2022-11-27 18:36:22.046,22.0,screenChange,0.374,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,23.0,,,,,,,
2022-11-27 18:36:22.376,23.0,screenChange,0.329,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,24.0,,,,,,,
2022-11-27 18:36:22.936,24.0,screenChange,0.56,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,25.0,,,,,,,
2022-11-27 18:36:23.438,25.0,screenChange,0.501,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,26.0,,,,,,,
2022-11-27 18:36:23.989,26.0,screenChange,0.55,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,27.0,,,,,,,
2022-11-27 18:36:24.663,27.0,screenChange,0.673,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,28.0,,,,,,,
2022-11-27 18:36:25.284,28.0,screenChange,0.621,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,29.0,,,,,,,
2022-11-27 18:36:25.758,29.0,screenChange,0.473,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,30.0,,,,,,,
2022-11-27 18:36:25.924,30.0,screenChange,0.165,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,31.0,,,,,,,
2022-11-27 18:36:26.140,31.0,screenChange,0.216,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,32.0,,,,,,,
2022-11-27 18:36:26.636,32.0,screenChange,0.496,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,33.0,,,,,,,
2022-11-27 18:36:26.808,33.0,screenChange,0.172,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,34.0,,,,,,,
2022-11-27 18:36:27.045,34.0,screenChange,0.237,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,35.0,,,,,,,
2022-11-27 18:36:27.268,35.0,screenChange,0.222,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,36.0,,,,,,,
2022-11-27 18:36:27.642,36.0,screenChange,0.374,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,37.0,,,,,,,
2022-11-27 18:36:27.958,37.0,screenChange,0.315,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,38.0,,,,,,,
2022-11-27 18:36:28.556,38.0,screenChange,0.598,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,39.0,,,,,,,
2022-11-27 18:36:29.199,39.0,screenChange,0.643,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,40.0,,,,,,,
2022-11-27 18:36:29.590,40.0,screenChange,0.391,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,41.0,,,,,,,
2022-11-27 18:36:30.093,41.0,screenChange,0.503,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,42.0,,,,,,,
