,part,message,slide,time,uuid
70,ps,Bd,7,1669558264250,d5377ab0-9d27-4f0b-892d-ac536512bc03
71,ps,DSF,12,1669563366423,61cec0e5-976c-4156-ba46-4cb2a83a06c7
72,ps,fasdf,7,1669574581878,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
73,assessment,uhu,8,1669574642589,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
74,ps,Nein,13,1669560614151,c8a2dd44-54e8-4f35-be96-0ae132b568d9
75,ps,asdf,5,1669559907039,fe1ad53f-a6d2-4c06-87d4-45737874631f
76,assessment,asdf,2,1669560115094,cbeb3138-f198-4e35-8f5f-39008795c2b1
77,ps,Sad,12,1669560610255,c8a2dd44-54e8-4f35-be96-0ae132b568d9
78,assessment,IDk,2,1669570597411,6c890410-2b93-4e90-866c-2a38db21ce00
79,assessment,asdf,2,1669573484087,04997195-3320-4372-ad30-6400988107c2
80,ps,fgds,5,1669558969038,4a21dd68-af05-4de6-9088-f98df0b7b862
81,ps,gcd,7,1669558977217,4a21dd68-af05-4de6-9088-f98df0b7b862
82,ps,zdza,12,1669559714665,d343ee00-e623-49fb-89b6-a5d0f7e8aa5d
83,assessment,fds,3,1669560449336,d15009a1-d04d-460c-a21d-6e825acfcf08
84,ps,asfd,16,1669573690310,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
85,ps,fdsf,7,1669559074932,2c3de412-eb0a-4b5e-8be6-671345c7b622
86,assessment,aasdf,2,1669575327374,ef499754-3675-47cf-a004-ea0aa30483dd
87,assessment,Fish,6,1669570609604,6c890410-2b93-4e90-866c-2a38db21ce00
88,assessment,asf,3,1669573876067,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
89,ps,af,12,1669573860169,3b09cd4a-2fc1-4673-9ec8-2a25e3532711
90,ps,asfd,16,1669573185248,a8552515-0778-4ee6-85fd-4653ef2bd6a2
91,ps,Brasillllll,12,1669572428295,67c5bb64-7ea7-4868-9b94-3b5605664d3a
92,ps,asdf,12,1669573178739,a8552515-0778-4ee6-85fd-4653ef2bd6a2
93,assessment,covfefe,3,1669572452983,67c5bb64-7ea7-4868-9b94-3b5605664d3a
94,assessment,11,6,1669558852989,4a893c00-09e0-4df3-8256-745a2f5056a4
95,assessment,asdf,1,1669560113263,cbeb3138-f198-4e35-8f5f-39008795c2b1
96,ps,hgfd,5,1669558918929,9273be1e-b595-40f6-a7a5-d37903465b37
97,assessment,asdf,6,1669572460142,67c5bb64-7ea7-4868-9b94-3b5605664d3a
98,assessment,J'aime le chibre,8,1669559402969,4a21dd68-af05-4de6-9088-f98df0b7b862
99,assessment,asdf,4,1669560124483,cbeb3138-f198-4e35-8f5f-39008795c2b1
100,ps,asdfv,5,1669575197431,e1449c07-56a9-43ed-936a-6cd0db5a9143
101,ps,f,7,1669573673745,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
102,ps,asdf,12,1669559925969,fe1ad53f-a6d2-4c06-87d4-45737874631f
103,ps,sfqfs,16,1669558965620,ed2293b1-eb68-4933-ad12-e7585e1be534
104,ps,ezr,5,1669559508794,d343ee00-e623-49fb-89b6-a5d0f7e8aa5d
105,ps,Less than 2022 lightbulbs,7,1669573456541,bc0866e8-f504-4a52-91de-a681f3982f43
106,ps,eds,7,1669556358341,2577070d-dc13-4074-98b4-db0bef85b2cb
107,ps,asfd,7,1669575297023,ef499754-3675-47cf-a004-ea0aa30483dd
108,ps,Yeah i'm just testing sth calm down,5,1669570542807,6c890410-2b93-4e90-866c-2a38db21ce00
109,assessment,pipi caca,8,1669563472232,61cec0e5-976c-4156-ba46-4cb2a83a06c7
110,ps,"Tg
",5,1669556411817,ee2f0abd-a127-473f-94e0-291ec2a03741
111,assessment,ij,6,1669575234706,e1449c07-56a9-43ed-936a-6cd0db5a9143
112,ps,ez,5,1669558927289,ed2293b1-eb68-4933-ad12-e7585e1be534
113,ps,fsdjkn,16,1669560426622,d15009a1-d04d-460c-a21d-6e825acfcf08
114,ps,asfd,7,1669575200871,e1449c07-56a9-43ed-936a-6cd0db5a9143
115,ps,Foa,7,1669572417901,67c5bb64-7ea7-4868-9b94-3b5605664d3a
116,ps,zqs,5,1669556344521,2577070d-dc13-4074-98b4-db0bef85b2cb
117,ps,Fart,5,1669572413121,67c5bb64-7ea7-4868-9b94-3b5605664d3a
118,ps,gfdgzjlrn,5,1669559811752,99a44852-552e-4198-9654-3d57eb64950b
119,ps,asd,7,1669560268726,088ebe12-34b8-4d5f-b985-847e667a3965
120,ps,Jene,7,1669571728800,0224d4e2-cd67-4125-a9f3-b6af6fe65c65
121,ps,a,7,1669573037639,4f1ca3ba-e4a1-4144-89ae-c56bc855f604
122,ps,gfdb,16,1669558336133,3ee60990-2dfd-4e6b-8890-02b673b9495e
123,ps,Hoho,13,1669561258659,54619c2f-fda5-4391-a12b-423070a17d15
124,ps,Drew a 6 with the lights :),5,1669573425843,bc0866e8-f504-4a52-91de-a681f3982f43
125,ps,asdf,12,1669573113714,fcadc353-301e-40e0-8dc0-ca4c4263f971
126,ps,Ez,12,1669558784301,4a893c00-09e0-4df3-8256-745a2f5056a4
127,ps,fds,12,1669560412568,d15009a1-d04d-460c-a21d-6e825acfcf08
128,ps,Stress,16,1669573476911,04997195-3320-4372-ad30-6400988107c2
129,ps,gcd,12,1669558993373,4a21dd68-af05-4de6-9088-f98df0b7b862
130,ps,qfsqsf,12,1669558950603,ed2293b1-eb68-4933-ad12-e7585e1be534
131,assessment,This sucked,8,1669570618827,6c890410-2b93-4e90-866c-2a38db21ce00
132,assessment,asdf,6,1669575334893,ef499754-3675-47cf-a004-ea0aa30483dd
133,ps,rez,7,1669559513611,d343ee00-e623-49fb-89b6-a5d0f7e8aa5d
134,assessment,gds,4,1669558507425,a5590fdc-7172-4b79-ba5a-4d4b06647330
135,assessment,asf,6,1669573493090,04997195-3320-4372-ad30-6400988107c2
136,ps,asd,12,1669560276628,088ebe12-34b8-4d5f-b985-847e667a3965
137,assessment,3242,3,1669560118131,cbeb3138-f198-4e35-8f5f-39008795c2b1
138,ps,fds,5,1669555851013,8e589cd7-ea97-45ce-97f6-3363d6018c56
139,assessment,fe,6,1669560456969,d15009a1-d04d-460c-a21d-6e825acfcf08
140,assessment,gcd,4,1669560451666,d15009a1-d04d-460c-a21d-6e825acfcf08
141,assessment,asdsf,4,1669575331976,ef499754-3675-47cf-a004-ea0aa30483dd
142,assessment,asdf,2,1669574616444,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
143,assessment,asdf,3,1669573707980,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
144,ps,asdf,16,1669575215341,e1449c07-56a9-43ed-936a-6cd0db5a9143
145,ps,asdf,16,1669573122035,fcadc353-301e-40e0-8dc0-ca4c4263f971
146,assessment,:(,1,1669573481908,04997195-3320-4372-ad30-6400988107c2
147,ps,sadf,12,1669574593811,f6a6da72-35e6-4f8d-9962-5ccf1aa2921b
148,assessment,123fs,6,1669558517926,a5590fdc-7172-4b79-ba5a-4d4b06647330
149,ps,Bonjour,5,1669556431223,f53a4df6-8e30-48da-814c-bd44dc77ddbb
150,ps,Jsjsjs,7,1669561245460,54619c2f-fda5-4391-a12b-423070a17d15
151,assessment,asdf,4,1669573710768,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
152,ps,Jj,16,1669571748788,0224d4e2-cd67-4125-a9f3-b6af6fe65c65
153,assessment,as,8,1669573498969,04997195-3320-4372-ad30-6400988107c2
154,ps,gcdgfd,7,1669558791125,c0ac9abc-2511-4a11-9960-7372fc7e2ffc
155,ps,fds,5,1669560390567,d15009a1-d04d-460c-a21d-6e825acfcf08
156,ps,fds,5,1669558773754,c0ac9abc-2511-4a11-9960-7372fc7e2ffc
157,ps,SUI-FRA 2020,16,1669572442075,67c5bb64-7ea7-4868-9b94-3b5605664d3a
158,ps,asfd,7,1669573958370,c0eff1b8-d3d6-4cb5-a10e-aee380d8796c
159,ps,res,5,1669556005324,29dd75fe-cdf8-46f9-8ab5-65309d6083ea
160,assessment,ds,1,1669558501472,a5590fdc-7172-4b79-ba5a-4d4b06647330
161,ps,asdf,16,1669559938865,fe1ad53f-a6d2-4c06-87d4-45737874631f
162,ps,Yes because je suis trop forte in binary,16,1669573689140,bc0866e8-f504-4a52-91de-a681f3982f43
163,assessment,asdf,1,1669573695906,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
164,assessment,Diarrhea,4,1669570603443,6c890410-2b93-4e90-866c-2a38db21ce00
165,assessment,asd,1,1669572447262,67c5bb64-7ea7-4868-9b94-3b5605664d3a
166,ps,JKNLK,16,1669563375462,61cec0e5-976c-4156-ba46-4cb2a83a06c7
167,ps,Jjb,12,1669571740222,0224d4e2-cd67-4125-a9f3-b6af6fe65c65
168,ps,gcd,7,1669558463205,a5590fdc-7172-4b79-ba5a-4d4b06647330
169,assessment,adsf,2,1669573704225,765f54c0-2d09-4736-a4fb-1e6c202f8bfb
